MinimizeOrder,Conformation,Score,LowerBound,Corrected,FinalEnergy,OldConfLower,OldConfUpper,SubtreeLower,SubtreeUpper,ErrorBound,BoltzmannWeight,PercentContribution,ContributionRank
102,7     9     5     7     9     4     1     17,-86.580751,-87.538315,-86.580751,-85.845341,-86.580751,-50.415607,8.311428e+36,2.533059e+63,2.533059e+63,3.411709e+62,0.011293,88
103,7     9     1     7     9     7     1     16,-86.468530,-87.747511,-86.468530,-85.449645,-86.468530,-82.740238,3.901330e+60,2.096359e+63,2.092457e+63,1.756840e+62,0.005815,103
104,7     9     5     7     9     7     7     11,-86.553301,-87.581786,-86.553301,-85.573805,-86.553301,-84.740830,1.138307e+62,2.418484e+63,2.304654e+63,2.163590e+62,0.007161,97
105,7     9     5     7     9     7     8     6,-86.561003,-87.603822,-86.561003,-85.291949,-86.561003,-81.127111,2.569862e+59,2.450099e+63,2.449842e+63,1.348530e+62,0.004464,106
106,7     9     5     7     9     7     7     19,-86.494390,-87.522875,-86.494390,-85.561821,-86.494390,-84.355719,5.946203e+61,2.189791e+63,2.130329e+63,2.120535e+62,0.007019,100
107,7     9     5     7     9     5     8     11,-86.367322,-87.423000,-86.367322,-85.251912,-86.367322,-82.084045,1.290263e+60,1.767462e+63,1.766172e+63,1.260945e+62,0.004174,108
108,7     9     1     7     9     7     0     20,-86.427390,-87.603539,-86.427390,-85.219166,-86.427390,-82.233455,1.659940e+60,1.955863e+63,1.954203e+63,1.193555e+62,0.003951,111
109,7     9     5     7     9     7     8     8,-86.372457,-87.415277,-86.372457,-85.094176,-86.372457,-81.519501,4.980345e+59,1.782833e+63,1.782335e+63,9.678213e+61,0.003203,115
110,7     9     5     7     9     5     8     19,-86.329595,-87.385273,-86.329595,-85.275639,-86.329595,-81.733400,7.143305e+59,1.658527e+63,1.657813e+63,1.312138e+62,0.004343,107
111,7     9     1     7     9     7     8     20,-86.303281,-87.550560,-86.303281,-85.221551,-86.303281,-83.409888,1.206706e+61,1.586545e+63,1.574478e+63,1.198340e+62,0.003966,110
112,7     9     5     7     9     7     2     17,-86.268617,-87.186572,-86.268617,-85.410433,-86.268617,-42.887599,2.551919e+31,1.496468e+63,1.496468e+63,1.645010e+62,0.005445,105
113,7     9     5     7     9     7     1     6,-86.305421,-87.379941,-86.305421,-85.201282,-86.305421,-80.989468,2.037571e+59,1.592279e+63,1.592075e+63,1.158284e+62,0.003834,112
114,5     9     5     7     9     7     8     13,-86.296440,-87.339259,-86.296440,-85.232889,-86.296440,-59.809327,6.291558e+43,1.568348e+63,1.568348e+63,1.221347e+62,0.004043,109
115,5     9     5     7     9     7     8     27,-86.177548,-87.220368,-86.177548,-85.088135,-86.177548,-83.165731,7.994734e+60,1.283446e+63,1.275451e+63,9.580643e+61,0.003171,116
116,7     9     5     7     9     7     6     17,-86.263628,-87.616767,-86.263628,-85.198216,-86.263628,-44.440856,3.502086e+32,1.483934e+63,1.483934e+63,1.152343e+62,0.003814,113
117,7     9     5     7     9     4     8     11,-86.172082,-87.271541,-86.172082,-85.430023,-86.172082,-83.200717,8.480558e+60,1.271671e+63,1.263190e+63,1.699960e+62,0.005627,104
118,7     9     5     7     9     7     0     8,-86.167088,-87.485744,-86.167088,-85.114334,-86.167088,-80.382043,7.316298e+58,1.261007e+63,1.260934e+63,1.001104e+62,0.003314,114
